quantity,value
n_lyngstad_polygons,564
lyngstad_area_km2,70.13973741870845
footprint_km2,110065.01718803986
n_survey_projects,14
n_eu_presence_geometries,701
eu_domain_km2,495222.86011457775
gsp_nodata_rows_training,8987
gsp_nodata_rows_training_bog,1
gsp_nodata_rows_future,3486
gsp_nodata_max_bio10,12.540465354919434
axis_ref_bio10,15.527754783630373
bog_edge_offset,3.5306634902954084
lyngstad_offset_future_q10,1.6877408981323245
lyngstad_offset_future_median,3.1510777473449707
lyngstad_offset_future_q90,3.777786350250244
lyngstad_offset_current_median,-0.36272573471069336
lyngstad_share_beyond_bog_edge,0.23049645390070922
aoa_threshold,1.9670817098666138
lyngstad_pbog_current_mean,0.9116336211253676
lyngstad_pbog_future_mean,0.15566808324690784
lyngstad_pbog_change_median,-0.822624998788039
lyngstad_pbog_change_q05,-0.9019249938428402
lyngstad_pbog_change_q95,-0.37634498104453057
lyngstad_share_declining,0.9911347517730497
lyngstad_future_pbog_above_0.5,0
rows_above_envelope,2425
rows_below_envelope,17961
