arm,slice,n_folds,n_test_rows,median_n_train,macro_auc,macro_gmean,recall_bog,recall_otherpeat,recall_nonpeat,fpr_bog
lopo,all,5,82359,77317,0.787,0.48,0.775,0.488,0.425,0.434
lopo,NO,5,56916,77317,0.777,0.298,0.779,0.154,0.562,0.526
lopo,EU,5,25443,77317,0.758,0.279,0.774,0.733,0.191,0.329
lopo,inside,5,61973,77317,0.788,0.492,0.775,0.501,0.426,0.415
lopo,below,1,17961,23430,0.764,0.322,NA,0.104,0.993,0
lopo,above,1,2425,67943,0.571,0,NA,0,0,1
pairwise,all,20,329436,5042,0.734,0.365,0.54,0.409,0.551,0.317
pairwise,NO,20,227664,5042,0.722,0.235,0.509,0.173,0.672,0.354
pairwise,EU,20,101772,5042,0.724,0.314,0.566,0.564,0.359,0.281
pairwise,inside,20,247892,5042,0.736,0.371,0.54,0.414,0.554,0.305
pairwise,below,4,71844,3609.5,0.616,0.032,NA,0.004,0.961,0.041
pairwise,above,4,9700,3609.5,0.569,0,NA,0,0.2,0.772
